Time,Race,Selection
19/12/2025 13:40,13:40 Sthl,Electric Bass
19/12/2025 15:15,15:15 Newc,Maui Breeze
19/12/2025 15:25,15:25 Sthl,Mickey Mongoose
19/12/2025 16:25,16:25 Sthl,Riyadh Gem
19/12/2025 16:55,16:55 Sthl,Chola Empire
19/12/2025 17:00,17:00 Dund,Wearing Stars
19/12/2025 17:15,17:15 Newc,Habrdi
19/12/2025 17:30,17:30 Dund,Minella Mate
19/12/2025 17:45,17:45 Newc,The Cookstown Cafu
19/12/2025 18:00,18:00 Dund,Little Empire
19/12/2025 18:15,18:15 Newc,Sherlock
19/12/2025 18:45,18:45 Newc,Ramon Di Loria
19/12/2025 19:15,19:15 Newc,Digital
19/12/2025 19:30,19:30 Dund,Desert Friend
19/12/2025 20:00,20:00 Dund,Final Voyage
